Pos,StartNr,Categ,Naam,Club/Woonplaats,Zwem,#Zw,Wis1,#W1,Fiets,#Fie,NaFiets,#NaF,Wis2,#W2,Loop,#Loop,Total,Divisie
1,36,NK_Hneo,Jardy van den Heuvel,Kijani - Beesd,00:17:33,4,00:00:51,19,00:54:31,2,01:12:55,3,00:00:59,8,00:34:58,23,01:48:51,ere divisie
2,14,NK_Hneo,Niek Heldoorn,VISMA / TriCan - Arnhem,00:19:05,15,00:00:48,3,00:56:09,22,01:16:02,21,00:00:55,2,00:32:09,3,01:49:04,ere divisie
3,11,NK_H,Donald Hillebregt,VISMA / TriCan - Arnhem,00:17:31,2,00:00:50,12,00:57:12,31,01:15:32,6,00:00:59,7,00:33:07,8,01:49:37,ere divisie
4,40,NK_H,Stefan van Thiel,Kijani - Beesd,00:20:02,38,00:00:46,1,00:55:12,6,01:15:59,10,00:00:51,1,00:32:51,6,01:49:40,ere divisie
5,16,NK_Hneo,Daan Gehlen,Rogelli / TriMates - Utrecht,00:18:53,10,00:00:53,29,00:56:17,25,01:16:02,22,00:01:01,13,00:32:46,5,01:49:48,ere divisie
6,2,NK_Hneo,Finn Timmermans,Squadra - Eindhoven,00:19:06,16,00:00:54,47,00:56:01,18,01:16:00,13,00:00:58,6,00:33:12,10,01:50:09,ere divisie
7,30,NK_Hneo,Stijn Jansen,TC Twente - Enschede,00:18:40,9,00:00:52,27,00:56:29,29,01:16:00,14,00:01:03,23,00:33:13,11,01:50:16,ere divisie
8,17,NK_Hneo,Joey van 't Verlaat,Rogelli / TriMates - Utrecht,00:20:00,36,00:00:47,2,00:55:15,7,01:16:01,18,00:01:04,28,00:33:30,14,01:50:34,ere divisie
9,15,NK_Hneo,Youri Keulen,VISMA / TriCan - Arnhem,00:18:17,7,00:00:55,51,00:56:21,26,01:15:31,4,00:01:34,65,00:33:40,15,01:50:45,ere divisie
10,29,NK_Hneo,Morten Schmidt,TC Twente - Enschede,00:18:13,5,00:00:51,16,00:56:29,28,01:15:32,8,00:01:04,29,00:34:47,19,01:51:22,ere divisie
11,26,NK_H,Jan-Roelf Heersema,TC Twente - Enschede,00:19:37,27,00:00:56,62,00:55:29,11,01:16:02,23,00:01:06,36,00:34:15,17,01:51:22,ere divisie
12,5,NK_Hneo,Renze Postma,Squadra - Eindhoven,00:17:24,1,00:00:54,37,00:57:15,32,01:15:32,7,00:01:05,32,00:34:55,20,01:51:30,ere divisie
13,3,NK_Hneo,Lucas van Deynze,Squadra - Eindhoven,00:19:45,29,00:00:49,9,00:55:26,10,01:16:00,12,00:01:01,14,00:35:01,27,01:52:01,ere divisie
14,18,NK_H,Koen de Leeuw,Rogelli / TriMates - Utrecht,00:19:48,31,00:00:50,14,00:55:24,8,01:16:01,19,00:01:04,31,00:35:20,30,01:52:24,ere divisie
15,35,NK_Hneo,Tristan Olij,TTW - Weesp,00:19:58,34,00:00:52,24,00:55:12,5,01:16:01,20,00:01:13,52,00:35:17,29,01:52:30,ere divisie
16,28,NK_H,Mark Oude Bennink,TC Twente - Enschede,00:18:19,8,00:00:51,17,00:56:22,27,01:15:31,5,00:01:11,49,00:36:00,40,01:52:41,ere divisie
17,45,NK_H,Sanne Swolfs,Rosiir - Tjellens / TTvW Hof van Twente - Goor,00:20:04,40,00:00:55,53,00:57:23,34,01:18:21,33,00:01:02,20,00:33:21,12,01:52:44,ere divisie
18,1,NK_H,Devi Wolthuizen,Squadra - Eindhoven,00:19:05,14,00:00:49,11,00:56:10,23,01:16:03,26,00:01:10,48,00:35:33,33,01:52:46,ere divisie
19,21,NK_H,Edo van der Meer,EDO Sports - Maastricht,00:19:09,22,00:00:54,38,00:55:55,15,01:15:56,9,00:01:01,16,00:35:53,39,01:52:49,ere divisie
20,65,NK_Hneo,Wesley Mols,Cerberus - Nijmegen,00:20:41,48,00:00:53,35,00:58:58,51,01:20:31,51,00:01:31,63,00:31:25,1,01:53:26,ere divisie
21,44,NK_Hneo,Oliver Brammen,Rosiir - Tjellens / TTvW Hof van Twente - Goor,00:20:06,41,00:00:51,21,00:57:25,36,01:18:21,34,00:01:00,10,00:34:10,16,01:53:30,ere divisie
22,56,NK_Hneo,Koen Hijman,De Dolfijn - Amsterdam,00:19:34,26,00:00:57,64,00:55:35,12,01:16:04,29,00:01:05,33,00:36:42,46,01:53:51,ere divisie
23,60,NK_H,Wouter Dijkshoorn,De Dolfijn - Amsterdam,00:20:39,47,00:00:48,4,00:58:35,48,01:20:01,40,00:01:02,19,00:33:10,9,01:54:12,ere divisie
24,39,NK_H,Rob Musters,Kijani - Beesd,00:20:11,43,00:00:51,18,00:57:19,33,01:18:20,32,00:01:03,24,00:35:00,25,01:54:23,ere divisie
25,38,NK_H,Jeroen Leuverink,Kijani - Beesd,00:19:06,17,00:00:57,65,00:55:58,16,01:16:00,15,00:01:17,56,00:37:24,52,01:54:40,ere divisie
26,48,NK_H,Rik Linssen,Hellas - Utrecht,00:19:56,33,00:00:53,31,00:57:34,37,01:18:22,35,00:01:07,39,00:36:11,42,01:55:39,ere divisie
27,55,NK_H,Sander Berk,ZSC Oceanus - Aalsmeer,00:19:31,24,00:00:54,49,00:55:41,13,01:16:05,30,00:01:03,26,00:38:35,56,01:55:42,ere divisie
28,37,NK_Hneo,Jeffrey Reijnders,Kijani - Beesd,00:19:04,13,00:00:51,20,00:56:08,21,01:16:02,24,00:01:04,27,00:38:53,60,01:55:58,ere divisie
29,22,NK_H,Lex Habraken,EDO Sports - Maastricht,00:18:55,11,00:00:55,54,00:56:15,24,01:16:04,27,00:01:08,40,00:38:49,58,01:56:00,ere divisie
30,59,NK_H,Wilbert Grooters,De Dolfijn - Amsterdam,00:20:02,39,00:00:50,13,00:55:09,4,01:15:59,11,00:00:55,3,00:39:09,61,01:56:03,ere divisie
31,78,NK_Hneo,Hidde Weersma,Team UnLtd - Rotterdam,00:21:18,59,00:00:58,68,00:57:47,39,01:20:03,43,00:01:03,22,00:35:01,26,01:56:05,ere divisie
32,64,NK_Hneo,Roel Kwaaitaal,Cerberus - Nijmegen,00:20:29,44,00:00:55,55,00:58:43,49,01:20:06,47,00:01:11,51,00:34:55,21,01:56:11,ere divisie
33,66,NK_H,André Aanstoot,Fitness Occasions / Step One - Borne,00:20:08,42,00:00:56,59,00:58:57,50,01:20:00,39,00:01:04,30,00:35:44,35,01:56:47,ere divisie
34,50,NK_H,Vincenz Frey,Hellas - Utrecht,00:21:09,52,00:00:52,28,00:58:01,41,01:20:02,42,00:01:03,25,00:36:10,41,01:57:13,ere divisie
35,70,NK_H,Mark Muller,Fitness Occasions / Step One - Borne,00:20:37,46,00:00:54,42,01:00:00,59,01:21:30,52,00:01:09,43,00:34:46,18,01:57:24,ere divisie
36,32,NK_Hneo,Pim Lebouille,TTW - Weesp,00:20:36,45,00:00:50,15,00:58:33,47,01:19:59,36,00:00:56,4,00:36:32,44,01:57:26,ere divisie
37,46,NK_H,Camiel Villa Rikkers,Hellas - Utrecht,00:20:42,49,00:00:53,32,00:58:27,45,01:20:01,41,00:01:11,50,00:36:46,48,01:57:58,ere divisie
38,75,NK_H,Sander de Bart,TV Breda,00:21:28,61,00:00:55,57,00:59:42,54,01:22:04,54,00:01:09,44,00:35:30,31,01:58:42,ere divisie
39,19,NK_H,Marijn de Jonge,Rogelli / TriMates - Utrecht,00:20:57,51,00:00:54,41,00:58:21,44,01:20:11,49,00:01:10,46,00:37:37,53,01:58:56,ere divisie
40,13,NK_Hneo,Lars van der Knaap,VISMA / TriCan - Arnhem,00:19:23,23,00:00:54,45,01:04:22,71,01:24:38,67,00:01:00,12,00:33:23,13,01:59:00,ere divisie
41,24,NK_H,Robert de Korte,EDO Sports - Maastricht,00:23:12,76,00:00:54,43,00:59:00,52,01:23:06,58,00:01:00,11,00:34:59,24,01:59:03,ere divisie
42,49,NK_H,Sjoerd Veltman,Hellas - Utrecht,00:20:45,50,00:00:55,58,00:58:27,46,01:20:07,48,00:01:09,42,00:37:50,54,01:59:04,ere divisie
43,57,NK_H,Leander van Diggelen,De Dolfijn - Amsterdam,00:21:10,54,00:00:59,71,00:57:51,40,01:19:59,37,00:00:59,9,00:38:30,55,01:59:28,ere divisie
44,58,NK_H,Ruben Beekmans,De Dolfijn - Amsterdam,00:22:27,69,00:00:57,63,00:58:18,42,01:21:41,53,00:01:17,58,00:36:45,47,01:59:42,ere divisie
45,31,NK_Hneo,Daan Jacobs,TTW - Weesp,00:22:36,72,00:00:48,5,00:59:43,55,01:23:07,59,00:01:06,35,00:35:37,34,01:59:49,ere divisie
46,34,NK_Hneo,Tim Jacobs,TTW - Weesp,00:23:03,75,00:00:49,6,01:00:26,60,01:24:17,62,00:01:01,15,00:34:56,22,02:00:13,ere divisie
47,68,NK_H,Glenn ten Berge,Fitness Occasions / Step One - Borne,00:22:35,71,00:00:54,40,00:59:39,53,01:23:07,60,00:01:10,45,00:37:24,51,02:01:40,ere divisie
48,27,NK_H,Marco Vernooij,TC Twente - Enschede,00:21:24,60,00:00:56,61,00:57:46,38,01:20:05,46,00:01:06,37,00:40:35,63,02:01:45,ere divisie
49,72,NK_Hneo,Chris Steenbakker,TV Breda,00:21:44,63,00:00:55,56,01:01:05,63,01:23:43,61,00:01:17,57,00:37:04,50,02:02:03,ere divisie
50,42,NK_H,Koen Vossers,Rosiir - Tjellens / TTvW Hof van Twente - Goor,00:23:33,78,00:00:54,50,00:59:53,57,01:24:19,65,00:01:20,60,00:36:28,43,02:02:06,ere divisie
51,47,NK_H,Coen Smiers,Hellas - Utrecht,00:22:58,74,00:00:54,48,01:00:28,61,01:24:19,64,00:01:46,70,00:36:32,45,02:02:36,ere divisie
52,12,NK_H,Frank Heestermans,VISMA / TriCan - Arnhem,00:20:00,37,00:00:52,23,01:01:54,66,01:22:45,57,00:01:32,64,00:38:38,57,02:02:54,ere divisie
53,67,NK_H,Marco Muller,Fitness Occasions / Step One - Borne,00:23:29,77,00:00:52,25,01:02:39,67,01:27:00,68,00:01:14,53,00:35:03,28,02:03:16,ere divisie
54,52,NK_Hneo,Davy Heijsteeg,ZSC Oceanus - Aalsmeer,00:19:07,19,00:01:00,74,00:59:59,58,01:20:05,45,00:01:20,59,00:42:56,67,02:04:20,ere divisie
55,71,NK_H,Adrian Siemons,TV Breda,00:22:39,73,00:00:56,60,01:03:32,68,01:27:05,70,00:01:35,66,00:35:45,36,02:04:25,ere divisie
56,62,NK_H,Lars Verlaan,Cerberus - Nijmegen,00:21:16,58,00:01:00,75,00:59:50,56,01:22:04,55,00:01:16,54,00:42:07,65,02:05:27,ere divisie
57,73,NK_H,Erwin Langeler,TV Breda,00:21:48,65,00:00:53,34,01:01:41,65,01:24:22,66,00:01:44,69,00:39:42,62,02:05:47,ere divisie
58,77,NK_H,Carlo van den Bergh,Team UnLtd - Rotterdam,00:22:01,66,00:01:00,72,01:01:17,64,01:24:17,63,00:01:16,55,00:40:41,64,02:06:13,ere divisie
59,54,NK_H,Freek de Boer,ZSC Oceanus - Aalsmeer,00:21:10,53,00:00:58,69,01:00:37,62,01:22:44,56,00:01:40,68,00:44:22,68,02:08:45,ere divisie
60,74,NK_H,Niels van Dijk,TV Breda,00:22:11,68,00:01:12,79,01:03:43,69,01:27:04,69,00:01:40,67,00:42:42,66,02:11:26,ere divisie